epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1251.33,0.54337,0.73578,0.51429,1.00697,0.83431,0.6907,0.76853,0.66254,0.82847,0.6907,0.76666,0.62316,0.67523,1.28444,1.07569,0.98692,0.0011882,0.0011882,0.0011882
43,1279.67,0.54041,0.73924,0.50701,1.01314,0.84766,0.73909,0.79965,0.68063,0.84562,0.73797,0.799,0.66211,0.67791,1.19321,0.97143,0.98088,0.0011684,0.0011684,0.0011684
44,1308.35,0.54202,0.74424,0.50488,1.02364,0.83531,0.7218,0.77506,0.65968,0.82652,0.71421,0.76345,0.62002,0.69804,1.32947,1.05874,1.00548,0.0011486,0.0011486,0.0011486
45,1336.99,0.52238,0.76076,0.50413,0.99913,0.84683,0.75533,0.80424,0.68942,0.84262,0.7518,0.79898,0.6629,0.67878,1.25314,0.96492,0.96771,0.0011288,0.0011288,0.0011288
46,1365.4,0.56326,0.8108,0.50272,1.0317,0.88253,0.72708,0.82241,0.70978,0.88253,0.72708,0.82294,0.68294,0.63057,1.21965,0.86444,0.94005,0.001109,0.001109,0.001109
47,1393.87,0.5189,0.72128,0.47792,0.99048,0.82437,0.73624,0.78726,0.66829,0.82,0.73478,0.7889,0.6551,0.67593,1.27106,0.97631,0.9959,0.0010892,0.0010892,0.0010892
48,1422.25,0.52841,0.74785,0.50163,0.99759,0.81625,0.74176,0.79214,0.68065,0.81207,0.73797,0.79031,0.65606,0.65212,1.20335,0.99554,0.96539,0.0010694,0.0010694,0.0010694
49,1450.58,0.512,0.72098,0.46013,0.99337,0.84192,0.76091,0.80435,0.69416,0.84192,0.76091,0.80593,0.67583,0.64173,1.19758,0.91497,0.94889,0.0010496,0.0010496,0.0010496
50,1479.52,0.50059,0.74041,0.47423,0.98799,0.857,0.74573,0.78261,0.67052,0.83477,0.72676,0.75265,0.6124,0.66361,1.35362,1.00362,0.97887,0.0010298,0.0010298,0.0010298
51,1508.16,0.51282,0.71976,0.47066,0.98735,0.88114,0.73245,0.78613,0.66953,0.88114,0.73245,0.78817,0.64792,0.66325,1.20811,1.00892,0.97742,0.00101,0.00101,0.00101
52,1536.83,0.48779,0.70719,0.46089,0.98141,0.90989,0.71537,0.81844,0.71421,0.90989,0.71537,0.82141,0.69377,0.63259,1.18593,0.88514,0.95397,0.0009902,0.0009902,0.0009902
53,1567.1,0.48142,0.70329,0.45192,0.97211,0.81555,0.78178,0.82519,0.70418,0.81555,0.78178,0.82824,0.68811,0.61581,1.16074,0.86702,0.9413,0.0009704,0.0009704,0.0009704
54,1595.62,0.51136,0.71321,0.45915,0.9955,0.84128,0.75142,0.79808,0.70098,0.83556,0.75901,0.79882,0.67314,0.61299,1.21162,0.95043,0.93712,0.0009506,0.0009506,0.0009506
55,1623.83,0.48814,0.7336,0.46052,0.9823,0.85289,0.74811,0.80876,0.69733,0.85073,0.74621,0.80769,0.67666,0.66817,1.15553,0.93092,0.9756,0.0009308,0.0009308,0.0009308
56,1652.23,0.50211,0.75178,0.45263,0.98671,0.8556,0.74208,0.81966,0.70245,0.8427,0.74953,0.82294,0.68216,0.63635,1.15759,0.90574,0.96205,0.000911,0.000911,0.000911
57,1680.57,0.50575,0.79716,0.44982,1.0042,0.85889,0.75074,0.82286,0.70775,0.85756,0.75397,0.82536,0.69101,0.62279,1.16854,0.88671,0.95368,0.0008912,0.0008912,0.0008912
58,1708.73,0.49507,0.69261,0.44979,0.97774,0.83312,0.72486,0.8079,0.69811,0.83094,0.72296,0.80926,0.67341,0.60051,1.14409,0.87794,0.93505,0.0008714,0.0008714,0.0008714
59,1737.26,0.49691,0.68544,0.44394,0.97928,0.84837,0.75332,0.82948,0.7089,0.85051,0.75522,0.83268,0.68677,0.64271,1.16359,0.90263,0.96867,0.0008516,0.0008516,0.0008516
60,1765.8,0.47975,0.68745,0.42661,0.96828,0.79695,0.76709,0.78749,0.68831,0.85738,0.72106,0.78994,0.66072,0.62585,1.21659,0.96405,0.95156,0.0008318,0.0008318,0.0008318
61,1794.25,0.4847,0.69114,0.43841,0.9797,0.86935,0.73235,0.80188,0.69418,0.86935,0.73235,0.80325,0.67432,0.62849,1.3106,0.94167,0.95924,0.000812,0.000812,0.000812
62,1822.48,0.47836,0.68156,0.41857,0.97598,0.84897,0.75732,0.80153,0.70193,0.84684,0.75542,0.80381,0.674,0.62219,1.281,0.93183,0.95079,0.0007922,0.0007922,0.0007922
63,1850.65,0.48136,0.67962,0.42544,0.97713,0.86813,0.74951,0.81468,0.71036,0.86813,0.74951,0.81552,0.68782,0.59487,1.24365,0.90663,0.92777,0.0007724,0.0007724,0.0007724
