epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1774.31,0.74605,0.52407,1.11573,0.90089,0.88738,0.93566,0.68983,0.92783,0.55618,1.24928,0.000614,0.000614,0.000614
72,1804.99,0.74918,0.52537,1.1103,0.92775,0.87653,0.94307,0.70166,0.91387,0.53303,1.24109,0.0005942,0.0005942,0.0005942
73,1835.61,0.74216,0.52447,1.11006,0.92525,0.8734,0.94478,0.70856,0.90397,0.52246,1.22755,0.0005744,0.0005744,0.0005744
74,1866.24,0.72094,0.51026,1.09757,0.93353,0.8576,0.9386,0.68855,0.93063,0.53986,1.2702,0.0005546,0.0005546,0.0005546
75,1896.79,0.72698,0.50486,1.09901,0.91477,0.88831,0.94557,0.70309,0.91802,0.53657,1.24864,0.0005348,0.0005348,0.0005348
76,1927.12,0.71694,0.50474,1.09567,0.897,0.89804,0.943,0.70693,0.90733,0.53818,1.23472,0.000515,0.000515,0.000515
77,1957.86,0.72127,0.50196,1.10001,0.90738,0.89066,0.94147,0.69025,0.93529,0.54488,1.2558,0.0004952,0.0004952,0.0004952
78,1988.33,0.71144,0.48921,1.09874,0.91711,0.88331,0.94316,0.70797,0.8971,0.5186,1.22685,0.0004754,0.0004754,0.0004754
79,2018.94,0.71719,0.49834,1.08868,0.92869,0.8806,0.94754,0.70886,0.90226,0.52044,1.23814,0.0004556,0.0004556,0.0004556
80,2049.46,0.71008,0.49963,1.09664,0.89575,0.90936,0.94818,0.71643,0.88905,0.50926,1.22085,0.0004358,0.0004358,0.0004358
81,2080.1,0.70878,0.48242,1.09232,0.92053,0.88467,0.94441,0.70016,0.90855,0.51734,1.23012,0.000416,0.000416,0.000416
82,2110.74,0.69669,0.48426,1.07867,0.93639,0.8788,0.9483,0.71404,0.88169,0.49499,1.21091,0.0003962,0.0003962,0.0003962
83,2141.31,0.69896,0.47846,1.08845,0.90526,0.90366,0.94975,0.71629,0.89616,0.50235,1.2316,0.0003764,0.0003764,0.0003764
84,2171.7,0.68504,0.4689,1.07568,0.92895,0.88705,0.94831,0.71933,0.87777,0.49459,1.20969,0.0003566,0.0003566,0.0003566
85,2202.4,0.67749,0.4642,1.08497,0.9069,0.912,0.94924,0.71012,0.89972,0.50547,1.23259,0.0003368,0.0003368,0.0003368
86,2232.74,0.6761,0.46366,1.06715,0.92184,0.90095,0.95335,0.71913,0.88511,0.49769,1.21113,0.000317,0.000317,0.000317
87,2263.32,0.67982,0.46168,1.07344,0.91468,0.90502,0.9558,0.72244,0.8791,0.48917,1.2067,0.0002972,0.0002972,0.0002972
88,2294.06,0.67615,0.45702,1.06843,0.91105,0.90366,0.95175,0.71996,0.88083,0.4903,1.21162,0.0002774,0.0002774,0.0002774
89,2324.47,0.67755,0.45758,1.07218,0.92277,0.89164,0.94657,0.71704,0.878,0.49601,1.21581,0.0002576,0.0002576,0.0002576
90,2354.86,0.66584,0.45692,1.06803,0.94438,0.87548,0.95428,0.72219,0.8812,0.48369,1.21428,0.0002378,0.0002378,0.0002378
91,2386.04,0.67105,0.43693,1.09939,0.93423,0.88663,0.94764,0.70958,0.87596,0.49257,1.2143,0.000218,0.000218,0.000218
92,2415.4,0.6331,0.37436,1.07326,0.91715,0.9162,0.95685,0.72139,0.86565,0.4698,1.2067,0.0001982,0.0001982,0.0001982
93,2445.01,0.62382,0.37144,1.06668,0.91418,0.91057,0.95537,0.72112,0.86799,0.47759,1.21425,0.0001784,0.0001784,0.0001784
94,2474.53,0.61502,0.35869,1.0561,0.92319,0.90773,0.95544,0.722,0.87413,0.48269,1.21955,0.0001586,0.0001586,0.0001586
95,2503.96,0.61566,0.35446,1.05809,0.94227,0.88579,0.95384,0.7235,0.85546,0.47886,1.20651,0.0001388,0.0001388,0.0001388
96,2533.74,0.59819,0.35071,1.04948,0.95063,0.88331,0.95713,0.72799,0.84428,0.46688,1.197,0.000119,0.000119,0.000119
97,2563.59,0.59535,0.34668,1.04565,0.94272,0.89331,0.95701,0.72888,0.85486,0.46684,1.20499,9.92e-05,9.92e-05,9.92e-05
98,2593.21,0.58058,0.34175,1.02849,0.94447,0.89145,0.95505,0.72545,0.85391,0.46571,1.20909,7.94e-05,7.94e-05,7.94e-05
99,2623.16,0.58654,0.34102,1.03097,0.94027,0.89711,0.95527,0.73275,0.84481,0.46164,1.2002,5.96e-05,5.96e-05,5.96e-05
100,2652.3,0.5842,0.32861,1.03486,0.94191,0.89688,0.95557,0.73333,0.84381,0.4632,1.20244,3.98e-05,3.98e-05,3.98e-05
