epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1003.97,0.47401,0.65582,0.39663,0.94113,0.81431,0.82663,0.83674,0.72437,0.81679,0.82915,0.83652,0.70139,0.60433,1.24212,0.78303,0.9278,0.0008318,0.0008318,0.0008318
61,1020.7,0.49048,0.65834,0.40433,0.94537,0.86993,0.78643,0.84175,0.72646,0.86405,0.79899,0.83993,0.70602,0.61934,1.26177,0.73525,0.94044,0.000812,0.000812,0.000812
62,1037.3,0.4795,0.66001,0.40976,0.94673,0.83781,0.80653,0.84011,0.71067,0.84042,0.80905,0.84167,0.70134,0.63481,1.24983,0.73364,0.95759,0.0007922,0.0007922,0.0007922
63,1053.64,0.47956,0.63894,0.39894,0.93654,0.86527,0.7907,0.82725,0.71131,0.86802,0.79321,0.82978,0.68806,0.63809,1.19969,0.78613,0.9249,0.0007724,0.0007724,0.0007724
64,1070.27,0.48826,0.64904,0.40509,0.95003,0.86024,0.79899,0.82115,0.72089,0.86024,0.79899,0.81791,0.7046,0.58004,1.13516,0.75986,0.90405,0.0007526,0.0007526,0.0007526
65,1086.88,0.47216,0.61874,0.40135,0.94081,0.87613,0.78192,0.83156,0.72027,0.87613,0.78192,0.83249,0.70395,0.61122,1.23896,0.77349,0.92563,0.0007328,0.0007328,0.0007328
66,1103.3,0.46567,0.64135,0.38083,0.94867,0.86464,0.78392,0.84306,0.73699,0.86753,0.78643,0.84858,0.70338,0.60919,1.20353,0.79058,0.92663,0.000713,0.000713,0.000713
67,1119.6,0.46482,0.627,0.3914,0.93197,0.90631,0.75345,0.83837,0.73227,0.89812,0.75377,0.84067,0.70432,0.57774,1.17673,0.75174,0.90844,0.0006932,0.0006932,0.0006932
68,1135.92,0.45594,0.63443,0.38326,0.92926,0.88149,0.80361,0.86671,0.75804,0.87877,0.80402,0.86937,0.7327,0.59579,1.18088,0.68209,0.92416,0.0006734,0.0006734,0.0006734
69,1152.54,0.44967,0.64011,0.38475,0.93016,0.86356,0.81156,0.84284,0.73346,0.86511,0.81407,0.84766,0.71677,0.60087,1.20607,0.72441,0.92294,0.0006536,0.0006536,0.0006536
70,1169.12,0.4474,0.61364,0.36331,0.92928,0.845,0.80816,0.84991,0.73463,0.85065,0.81658,0.85779,0.7117,0.60746,1.19888,0.73784,0.93236,0.0006338,0.0006338,0.0006338
71,1185.78,0.46731,0.62051,0.37397,0.9381,0.88215,0.78995,0.84916,0.73972,0.88215,0.78995,0.85336,0.70795,0.59934,1.20408,0.74271,0.92694,0.000614,0.000614,0.000614
72,1202.11,0.45082,0.60259,0.36393,0.93387,0.91079,0.76961,0.85495,0.74277,0.91079,0.76961,0.85619,0.71934,0.61756,1.23558,0.7357,0.9338,0.0005942,0.0005942,0.0005942
73,1218.53,0.44579,0.60571,0.36041,0.92785,0.87316,0.79565,0.84352,0.74136,0.87316,0.79565,0.85033,0.71196,0.60603,1.18989,0.73741,0.9357,0.0005744,0.0005744,0.0005744
74,1234.87,0.45317,0.61457,0.403,0.9428,0.91057,0.79397,0.8521,0.73977,0.91057,0.79397,0.85587,0.71596,0.61235,1.18922,0.72942,0.93093,0.0005546,0.0005546,0.0005546
75,1251.29,0.44608,0.61486,0.35763,0.93272,0.87326,0.81366,0.85846,0.74736,0.87092,0.81407,0.86079,0.72505,0.58526,1.1705,0.68466,0.91026,0.0005348,0.0005348,0.0005348
76,1267.84,0.43215,0.61877,0.35355,0.92293,0.88223,0.78894,0.84069,0.73631,0.88504,0.79146,0.84475,0.71045,0.61837,1.14578,0.74042,0.92239,0.000515,0.000515,0.000515
77,1284.25,0.44483,0.61595,0.37028,0.92117,0.83652,0.79899,0.83167,0.72262,0.84207,0.80381,0.83564,0.70443,0.59915,1.14457,0.77942,0.91478,0.0004952,0.0004952,0.0004952
78,1300.59,0.42527,0.59334,0.35405,0.9259,0.87373,0.76633,0.84387,0.7441,0.87373,0.76633,0.84755,0.72176,0.5864,1.16687,0.7479,0.90887,0.0004754,0.0004754,0.0004754
79,1317,0.42697,0.56686,0.34651,0.92184,0.85802,0.79397,0.84751,0.74733,0.85471,0.79648,0.85107,0.7202,0.57337,1.19166,0.71117,0.9055,0.0004556,0.0004556,0.0004556
